0 c.name;1 surname;2 c.ak;3  c.birthdate;4 p.name;5 p.ak;6 p.email;7 p.phone;8 a.surname;9 a.name;10 a.ak;11 a.phone;12 a.email;13 a.address;14 kc.1;15 kc.2;16 kc.3;17 kc.4;18 kc.5;19 v.1;20 v.2;21 v.3;22 v.4;23 v.5;24 v.6
Rusnis;Riekašius;51601150093;2016-01-15;Vidymantas;38601150093;user1@user.lt;+37060000001;Riekašė;Adolaida;49901150093;862000001;parent1@parent.lt;"Ilgiausia g. 1, Vilnius";190032931;290031830;190033129;190033271;190019994;true;false;true;false;true;true
Girmintas;Vėlius;51601150016;2016-01-15;Gytautas;38601150016;user2@user.lt;+37060000002;Vėlė;Juvencija;49901150016;862000002;parent2@parent.lt;"Ilgiausia g. 2, Vilnius";190019122;190032931;290031830;190033129;190033271;false;false;true;true;false;true
Gitavtas;Subelis;51601150060;2016-01-15;Pilėnas;38601150060;user3@user.lt;+37060000003;Subelė;Sanga;49901150060;862000003;parent3@parent.lt;"Ilgiausia g. 3, Vilnius";190020391;190019122;190032931;290031830;190033129;false;true;true;false;false;false
Kornelis;Žaudzevičius;51601150038;2016-01-15;Vaigydas;38601150038;user4@user.lt;+37060000004;Žaudzevičė;Gracija;49901150038;862000004;parent4@parent.lt;"Ilgiausia g. 4, Vilnius";303318623;190020391;190019122;190032931;290031830;false;false;false;false;true;true
Gaivis;Jakubielskas;51601150049;2016-01-15;Milgedas;38601150049;user5@user.lt;+37060000005;Jakubielskė;Laimantė;49901150049;862000005;parent5@parent.lt;"Ilgiausia g. 5, Vilnius";190020434;303318623;190020391;190019122;190032931;true;false;true;false;true;true
Patrik;Būtvilas;51601150005;2016-01-15;Ignnatijus;38601150005;user6@user.lt;+37060000006;Būtvilė;Penelopė;49901150005;862000006;parent6@parent.lt;"Ilgiausia g. 6, Vilnius";190026120;190020434;303318623;190020391;190019122;true;false;true;false;true;true
Polius;Vaišnoris;51601150053;2016-01-15;Lengvinas;38601150053;user7@user.lt;+37060000007;Vaišnorė;Eolelija;49901150053;862000007;parent7@parent.lt;"Ilgiausia g. 7, Vilnius";190019275;190026120;190020434;303318623;190020391;false;false;true;true;false;true
Jorigis;Bloškys;51601150027;2016-01-15;Getautas;38601150027;user8@user.lt;+37060000008;Blokšė;Deivydė;49901150027;862000008;parent8@parent.lt;"Ilgiausia g. 8, Vilnius";190031797;190019275;190026120;190020434;303318623;true;true;true;false;false;true
Elbertas;Daukantis;51601150071;2016-01-15;Voldis;38601150071;user9@user.lt;+37060000009;Daukantė;Genija;49901150071;862000009;parent9@parent.lt;"Ilgiausia g. 9, Vilnius";190021721;190031797;190019275;190026120;190020434;true;false;true;true;true;true
Adolaida;Žitinskytė;61602150113;2016-02-15;Varonika;49402150113;user10@user.lt;+37060000010;Žitinskas;Petras;39102150113;862000010;parent10@parent.lt;"Ilgiausia g. 10, Vilnius";190015444;190021721;190031797;190019275;190026120;true;true;true;false;true;true
Juvencija;Gazevičytė;61602150120;2016-02-15;Balanda;49402150120;user11@user.lt;+37060000011;Gazevičius;Mantvilas;39102150120;862000011;parent11@parent.lt;"Ilgiausia g. 11, Vilnius";191727213;190015444;190021721;190031797;190019275;false;true;false;false;true;true
Sanga;Gecaitė;61602150131;2016-02-15;Zigfrida;49402150131;user12@user.lt;+37060000012;Gecaitis;Naras;39102150131;862000012;parent12@parent.lt;"Ilgiausia g. 12, Vilnius";190027037;191727213;190015444;190021721;190031797;false;true;false;false;false;false
Gracija;Kmiliauskaitė;61602150109;2016-02-15;Dija;49402150109;user13@user.lt;+37060000013;Kmiliauskas;Alvis;39102150109;862000013;parent13@parent.lt;"Ilgiausia g. 13, Vilnius";190018935;190027037;191727213;190015444;190021721;true;false;true;true;true;true
Laimantė;Paraknavičytė;61602150175;2016-02-15;Vince;49402150175;user14@user.lt;+37060000014;Paraknavičius;Alginas;39102150175;862000014;parent14@parent.lt;"Ilgiausia g. 14, Vilnius";190017071;190018935;190027037;191727213;190015444;false;true;false;false;false;true
Penelopė;Norvilovytė;61602150186;2016-02-15;Jautrė;49402150186;user15@user.lt;+37060000015;Norvilovas;Vaidrimas;39102150186;862000015;parent15@parent.lt;"Ilgiausia g. 15, Vilnius";190014723;190017071;190018935;190027037;191727213;true;false;false;false;true;true
Eolelija;Kratavičaitė;61602150153;2016-02-15;Terėsė;49402150153;user16@user.lt;+37060000016;Kratavičius;Gaudvydas;39102150153;862000016;parent16@parent.lt;"Ilgiausia g. 16, Vilnius";190019994;190014723;190017071;190018935;190027037;true;false;true;false;true;true
Deivydė;Čiegiūtė;61602150142;2016-02-15;Jurgita;49402150142;user17@user.lt;+37060000017;Čiegius;Joviltas;39102150142;862000017;parent17@parent.lt;"Ilgiausia g. 17, Vilnius";190033271;190019994;190014723;190017071;190018935;true;true;false;false;true;false
