1 c.name;2 surname;3 c.ak;4 c.birthdate;5 p.name;6 p.ak;7 p.email;8 p.phone;9 k.name;10 k.code;11 k.phone;12 k.email;13 k.account;14 k.address;15 p.address;16 k.bankName;17 k.bankCode
Rusnis;Riekašius;51601150093;2016-01-15;Vidymantas;38601150093;user1@user.lt;+37060000001;Blizgutis;123000001;861000001;darzelis1@darzelis.lt;LT000000000000000001;"Ilgiausia g. 201, Vilnius";"Ilgiausia g. 1, Vilnius";Pinigų Pieninė;PNGPNN66
Girmintas;Vėlius;51601150016;2016-01-15;Gytautas;38601150016;user2@user.lt;+37060000002;Dudutis;123000002;861000002;darzelis2@darzelis.lt;LT000000000000000002;"Ilgiausia g. 202, Vilnius";"Ilgiausia g. 2, Vilnius";Pinigų Pieninė;PNGPNN66
Gitavtas;Subelis;51601150060;2016-01-15;Pilėnas;38601150060;user3@user.lt;+37060000003;Makalai;123000003;861000003;darzelis3@darzelis.lt;LT000000000000000003;"Ilgiausia g. 203, Vilnius";"Ilgiausia g. 3, Vilnius";Pinigų Pieninė;PNGPNN66
Kornelis;Žaudzevičius;51601150038;2016-01-15;Vaigydas;38601150038;user4@user.lt;+37060000004;Bim-Bam;123000004;861000004;darzelis4@darzelis.lt;LT000000000000000004;"Ilgiausia g. 204, Vilnius";"Ilgiausia g. 4, Vilnius";Pinigų Pieninė;PNGPNN66
Gaivis;Jakubielskas;51601150049;2016-01-15;Milgedas;38601150049;user5@user.lt;+37060000005;Batukai;123000005;861000005;darzelis5@darzelis.lt;LT000000000000000005;"Ilgiausia g. 205, Vilnius";"Ilgiausia g. 5, Vilnius";Pinigų Pieninė;PNGPNN66
Patrik;Būtvilas;51601150005;2016-01-15;Ignnatijus;38601150005;user6@user.lt;+37060000006;Gėlynėlis;123000006;861000006;darzelis6@darzelis.lt;LT000000000000000006;"Ilgiausia g. 206, Vilnius";"Ilgiausia g. 6, Vilnius";Pinigų Pieninė;PNGPNN66
Polius;Vaišnoris;51601150053;2016-01-15;Lengvinas;38601150053;user7@user.lt;+37060000007;Ąžuolėlis;123000007;861000007;darzelis7@darzelis.lt;LT000000000000000007;"Ilgiausia g. 207, Vilnius";"Ilgiausia g. 7, Vilnius";Pinigų Pieninė;PNGPNN66
Jorigis;Bloškys;51601150027;2016-01-15;Getautas;38601150027;user8@user.lt;+37060000008;Trys Liepaitės;123000008;861000008;darzelis8@darzelis.lt;LT000000000000000008;"Ilgiausia g. 208, Vilnius";"Ilgiausia g. 8, Vilnius";Pinigų Pieninė;PNGPNN66
Elbertas;Daukantis;51601150071;2016-01-15;Voldis;38601150071;user9@user.lt;+37060000009;Du batukai;123000009;861000009;darzelis9@darzelis.lt;LT000000000000000009;"Ilgiausia g. 209, Vilnius";"Ilgiausia g. 9, Vilnius";Pinigų Pieninė;PNGPNN66
Adolaida;Žitinskytė;61602150113;2016-02-15;Varonika;49402150113;user10@user.lt;+37060000010;Trepselis;123000010;861000010;darzelis10@darzelis.lt;LT000000000000000010;"Ilgiausia g. 210, Vilnius";"Ilgiausia g. 10, Vilnius";Pinigų Pieninė;PNGPNN66
Juvencija;Gazevičytė;61602150120;2016-02-15;Balanda;49402150120;user11@user.lt;+37060000011;Dūdutis;123000011;861000011;darzelis11@darzelis.lt;LT000000000000000011;"Ilgiausia g. 211, Vilnius";"Ilgiausia g. 11, Vilnius";Pinigų Pieninė;PNGPNN66
Sanga;Gecaitė;61602150131;2016-02-15;Zigfrida;49402150131;user12@user.lt;+37060000012;Trupinėlis;123000012;861000012;darzelis12@darzelis.lt;LT000000000000000012;"Ilgiausia g. 212, Vilnius";"Ilgiausia g. 12, Vilnius";Pinigų Pieninė;PNGPNN66
Gracija;Kmiliauskaitė;61602150109;2016-02-15;Dija;49402150109;user13@user.lt;+37060000013;Skuduriukas;123000013;861000013;darzelis13@darzelis.lt;LT000000000000000013;"Ilgiausia g. 213, Vilnius";"Ilgiausia g. 13, Vilnius";Pinigų Pieninė;PNGPNN66
Laimantė;Paraknavičytė;61602150175;2016-02-15;Vince;49402150175;user14@user.lt;+37060000014;Languotukas;123000014;861000014;darzelis14@darzelis.lt;LT000000000000000014;"Ilgiausia g. 214, Vilnius";"Ilgiausia g. 14, Vilnius";Pinigų Pieninė;PNGPNN66
Penelopė;Norvilovytė;61602150186;2016-02-15;Jautrė;49402150186;user15@user.lt;+37060000015;Šurum-burum;123000015;861000015;darzelis15@darzelis.lt;LT000000000000000015;"Ilgiausia g. 215, Vilnius";"Ilgiausia g. 15, Vilnius";Pinigų Pieninė;PNGPNN66
Eolelija;Kratavičaitė;61602150153;2016-02-15;Terėsė;49402150153;user16@user.lt;+37060000016;Aguonų laukas;123000016;861000016;darzelis16@darzelis.lt;LT000000000000000016;"Ilgiausia g. 216, Vilnius";"Ilgiausia g. 16, Vilnius";Pinigų Pieninė;PNGPNN66
Deivydė;Čiegiūtė;61602150142;2016-02-15;Jurgita;49402150142;user17@user.lt;+37060000017;Vienaragis;123000017;861000017;darzelis17@darzelis.lt;LT000000000000000017;"Ilgiausia g. 217, Vilnius";"Ilgiausia g. 17, Vilnius";Pinigų Pieninė;PNGPNN66
Genija;Pipeniūtė;61602150164;2016-02-15;Gertruda;49402150164;user18@user.lt;+37060000018;Paršelis;123000018;861000018;darzelis18@darzelis.lt;LT000000000000000018;"Ilgiausia g. 218, Vilnius";"Ilgiausia g. 18, Vilnius";Pinigų Pieninė;PNGPNN66
Adelia;Aniukevičiūtė;61602150197;2016-02-15;Arvina;49402150197;user19@user.lt;+37060000019;Puškutis;123000019;861000019;darzelis19@darzelis.lt;LT000000000000000019;"Ilgiausia g. 219, Vilnius";"Ilgiausia g. 19, Vilnius";Pinigų Pieninė;PNGPNN66
Mantvilas;Damaševičius;51603150255;2016-03-15;Rimantis;38603150255;user20@user.lt;+37060000020;Baseinėlis;123000020;861000020;darzelis20@darzelis.lt;LT000000000000000020;"Ilgiausia g. 220, Vilnius";"Ilgiausia g. 20, Vilnius";Pinigų Pieninė;PNGPNN66
Naras;Jarošius;51603150233;2016-03-15;Galius;38603150233;user21@user.lt;+37060000021;Blizgutis;123000001;861000001;darzelis1@darzelis.lt;LT000000000000000001;"Ilgiausia g. 201, Vilnius";"Ilgiausia g. 21, Vilnius";Pinigų Pieninė;PNGPNN66
Alvis;Pernovas;51603150222;2016-03-15;Arymantas;38603150222;user22@user.lt;+37060000022;Dudutis;123000002;861000002;darzelis2@darzelis.lt;LT000000000000000002;"Ilgiausia g. 202, Vilnius";"Ilgiausia g. 22, Vilnius";Pinigų Pieninė;PNGPNN66
Alginas;Ardauskas;51603150200;2016-03-15;Kantvilas;38603150200;user23@user.lt;+37060000023;Makalai;123000003;861000003;darzelis3@darzelis.lt;LT000000000000000003;"Ilgiausia g. 203, Vilnius";"Ilgiausia g. 23, Vilnius";Pinigų Pieninė;PNGPNN66
Vaidrimas;Diedonis;51603150299;2016-03-15;Vinantas;38603150299;user24@user.lt;+37060000024;Bim-Bam;123000004;861000004;darzelis4@darzelis.lt;LT000000000000000004;"Ilgiausia g. 204, Vilnius";"Ilgiausia g. 24, Vilnius";Pinigų Pieninė;PNGPNN66
Gaudvydas;Sieliava;51603150277;2016-03-15;Platonas;38603150277;user25@user.lt;+37060000025;Batukai;123000005;861000005;darzelis5@darzelis.lt;LT000000000000000005;"Ilgiausia g. 205, Vilnius";"Ilgiausia g. 25, Vilnius";Pinigų Pieninė;PNGPNN66
Joviltas;Polinauskas;51603150288;2016-03-15;Kipras;38603150288;user26@user.lt;+37060000026;Gėlynėlis;123000006;861000006;darzelis6@darzelis.lt;LT000000000000000006;"Ilgiausia g. 206, Vilnius";"Ilgiausia g. 26, Vilnius";Pinigų Pieninė;PNGPNN66
Ildefons;Bruneikis;51603150266;2016-03-15;Marcelius;38603150266;user27@user.lt;+37060000027;Ąžuolėlis;123000007;861000007;darzelis7@darzelis.lt;LT000000000000000007;"Ilgiausia g. 207, Vilnius";"Ilgiausia g. 27, Vilnius";Pinigų Pieninė;PNGPNN66
Jotvis;Rudkevičius;51603150244;2016-03-15;Laimius;38603150244;user28@user.lt;+37060000028;Trys Liepaitės;123000008;861000008;darzelis8@darzelis.lt;LT000000000000000008;"Ilgiausia g. 208, Vilnius";"Ilgiausia g. 28, Vilnius";Pinigų Pieninė;PNGPNN66
Mečislavas;Ščerbavičius;51603150211;2016-03-15;Iminas;38603150211;user29@user.lt;+37060000029;Du batukai;123000009;861000009;darzelis9@darzelis.lt;LT000000000000000009;"Ilgiausia g. 209, Vilnius";"Ilgiausia g. 29, Vilnius";Pinigų Pieninė;PNGPNN66
Celestė;Rolaitė;61604150363;2016-04-15;Gilvilė;49404150363;user30@user.lt;+37060000030;Trepselis;123000010;861000010;darzelis10@darzelis.lt;LT000000000000000010;"Ilgiausia g. 210, Vilnius";"Ilgiausia g. 30, Vilnius";Pinigų Pieninė;PNGPNN66
Vylma;Rabcevičaitė;61604150315;2016-04-15;Ladislava;49404150315;user31@user.lt;+37060000031;Dūdutis;123000011;861000011;darzelis11@darzelis.lt;LT000000000000000011;"Ilgiausia g. 211, Vilnius";"Ilgiausia g. 31, Vilnius";Pinigų Pieninė;PNGPNN66
Armilė;Mielutytė;61604150304;2016-04-15;Levonida;49404150304;user32@user.lt;+37060000032;Trupinėlis;123000012;861000012;darzelis12@darzelis.lt;LT000000000000000012;"Ilgiausia g. 212, Vilnius";"Ilgiausia g. 32, Vilnius";Pinigų Pieninė;PNGPNN66
Irtė;Večkytė;61604150337;2016-04-15;Nadžija;49404150337;user33@user.lt;+37060000033;Skuduriukas;123000013;861000013;darzelis13@darzelis.lt;LT000000000000000013;"Ilgiausia g. 213, Vilnius";"Ilgiausia g. 33, Vilnius";Pinigų Pieninė;PNGPNN66
Ilitija;Daminevskiūtė;61604150359;2016-04-15;Minte;49404150359;user34@user.lt;+37060000034;Languotukas;123000014;861000014;darzelis14@darzelis.lt;LT000000000000000014;"Ilgiausia g. 214, Vilnius";"Ilgiausia g. 34, Vilnius";Pinigų Pieninė;PNGPNN66
